date,excerpt
2025-09-26,"Modern Security Operations Centres are overwhelmed by alerts, tool sprawl, and evolving threats. We explored why legacy approaches no longer work and how AI and full data context can help your security teams detect smarter, respond faster, and finally regain control."
2025-09-24,"Identity-based attacks are one of the most prevalent challenges for security leaders. Zero Trust security models that reduce risk, empower users, and help business achieve better operational efficiency are required. Watch now to learn how to create scalable models that adapt to evolving endpoint security needs."
2025-09-23,"The UK cyber policy landscape is entering its most active phase in years with new legislation, strengthened codes, and assurance requirements set to reshape governance and resilience across every sector."
2025-09-19,"With legal action already underway against non-compliant EU countries, organisations must act fast to prepare for enforcement of NIS2 requirements."
2025-09-18,"Join this candid conversation for real stories and takeaways to challenge your views on insider risk. Explore how trusted individuals (including third parties) can pose the biggest risks, understand intent before impact, and see how analytics can reveal what we often miss."
2025-09-15,"Continuous Threat Exposure Management (CTEM) is a powerful approach in reducing cyber risk, but its value relies on the perfect balance. The key challenge lies in aligning remediation efforts with business objectives – ensuring that limited resources address what matters most, and when."
2025-09-09,"As cyber-attacks escalate, so do their costs. Drawing on 1,000+ incident response cases, Arctic Wolf revealed key factors, costs, and insurer-style risk views, equipping finance, business, and technical leaders with actionable steps to measure and reduce breach-related financial risk."
2025-09-04,"You may have seen Fergus on BBC, Sky News, or NBC Euronews talking about industry events, but we invited him to the SASIG stage to talk about his own career and his innovative enterprise dedicated to identifying and nurturing ethical hackers."
2025-07-24,"Over the past few years, Ukraine has taught us a huge amount about national resilience. But can it continue to stand up to Russia? How does Europe – including the UK – realign its security strategy with questions hanging over the US? And what are the implications for our online security?"
2025-07-22,"As technical depth becomes a baseline expectation in cybersecurity, how can organisations and individuals adapt? We’ll explore future-focused capability building, certification, and workforce development strategies to meet evolving security demands."
2025-07-17,"What does today’s cybercrime ecosystem look like – and how are UK organisations being targeted? Explore key threats like infostealers and ransomware, insights into an evolving underground economy, and proactive steps for mitigating your exposure."
2025-07-16,"Cyber adversaries are increasingly leveraging artificial intelligence to launch sophisticated, high-speed attacks. To defend against them, we need to harness AI ourselves. Join us to examine real-world threats and get practical advice on embedding AI into your daily security operations."
2025-07-15,Learn how to deliver relevant content that reduces risk and drives behaviour change even among the most unique groups. Discover actionable techniques and strategies that target specific high-risk groups based on real data and metrics – because one size does not fit all.
2025-07-14,"Join prominent thought leaders as they lay aside their commercial rivalries for a friendly discussion about behaviour change and risk reduction. We’ll look at where traditional ‘awareness’ came from, whether human risk management is just a rebrand, where the industry is headed, and what it means for us all."
2025-07-11,"How do we deal with the constant deluge of both vulnerabilities and patches? Join us to explore how cyber risk quantification and threat intelligence can help you break free from reactive firefighting and move towards a healthier, more proactive risk posture."
2025-07-10,"Apple devices are more prevalent in the workplace than ever, and so are the threats targeting them. Join this SASIG-exclusive webinar to explore Jamf’s latest Security 360 reports, including key threats, real-world insights, and practical tips to keep your Apple fleet secure."
2025-07-07,"Agentic AI is more than just a buzzword; the use of autonomous agents driven by AI models is finding its way into many of the initiatives across our organisations. Join us to dive into how agentic AI works and the opportunities it presents, as well as how to manage and mitigate the associated risks."
2025-07-03,"In a world of instant reactions and public sharing of views, how can we be ready to explain an incident and what we are doing about it? Join us for real-world examples and advice on how to communicate, build trust, and effectively manage the most difficult situations."
2025-06-30,"Join this discussion between a Magic Circle lawyer and a consulting firm partner, as they share client stories and their combined experience navigating the legal, technical, and practical aspects of interpreting and implementing digital, data, and cyber laws, including NIS2 and the EU Cyber Resilience Act."
2025-06-27,"Ukraine’s experience during conflict has shaped a unique cybersecurity model as it has responded with resilience, rapid growth, and strategic innovation. We’ll reveal key security trends, challenges, and international partnerships that make Ukraine a noteworthy global case study in cyber resilience."
2025-06-24,"Traditional compliance is no longer sufficient – we must focus on identifying and addressing risky behaviours. Discuss how to measure programme effectiveness with behaviour-focused indicators, implement capture frameworks, overcome common engagement challenges, and communicate results to stakeholders."
2025-06-19,"Join us for an in-depth analysis of the brand-new Cybersecurity Trends survey results. We’ll examine emerging trends such as the use of AI in cyber attacks, how security leaders are spending their budgets, and what adjustments organisations can make based on the incidents of today and the threats of tomorrow."
2025-06-18,Discover the different mindsets reshaping how leading teams approach the human aspect of cybersecurity – from measuring real behaviour change to aligning with frameworks like NIST and MITRE ATT&CK. We’ll explore how to manage human risk with intelligence and give you insights you can act on straight away.
2025-06-13,"Systems that make independent automated decisions (known as agentic AI) offer immense potential, but also introduce new risks. Learn how to build a resilient cybersecurity framework when AI is both a tool and a potential threat as we explore how to leverage agentic AI for advanced cyber defences."
2025-06-09,"What can cybersecurity learn from boxing? We’ll explore how mental toughness, strategic preparation, and resilience (core traits of elite fighters) can strengthen our cyber defences. Discover why our biggest threats aren’t attackers, but stagnation and burnout. It’s time to fight smarter. Let’s get ready to rumble!"
2025-06-06,"Did you know that a key tool in our global defence armoury is at risk due to budget cuts by the US Administration? Join our panel of industry experts to discuss what is happening, the future of this foundation for threat assessments, and how losing the programme would affect us all."
2025-06-04,"In today’s data-driven world, harnessing the right insights is key to building inclusive workplaces. Learn how to embed evidence-based strategies into everyday practices, explore real-world case studies, and discover how data can transform your inclusion initiatives to help foster a more equitable workplace."
2025-05-30,"AI and consumer electronics mean drone warfare has never been so accessible. Its adoption is changing the character of conflict and presents many challenges. Join us as we explore current and potential future trends in employment and deployment of drones, the challenges, and how we can prepare ourselves."
2025-05-21,"Challenge outdated approaches to security awareness and explore the outcome-focused, data-driven field of human risk management. Through real-world examples and practical insights, discover how we can reduce risk, increase efficiency, and deliver business value by managing human behaviour more effectively."
2025-05-20,"Ever wonder what security leaders across industries are focusing on in the security space? How should their top priorities shape yours? Take a deep dive into the role of trust management in scaling security, where to prioritise AI and automation, strengthening your foundation, and preparing for what’s next."
2025-05-19,"David has been working in cybersecurity for twenty years, and has helped author a number of national and international security standards. We are hugely privileged to hear about his career so far, including his time as Group CISO at Camelot Group and Head of Cyber Security at the FCO, and his work towards closing the skills gap."
2025-05-16,"Discover a risk-based approach to cybersecurity, prioritising vulnerabilities based on business impact, rather than technical compliance. Learn how aligning cybersecurity with business goals improves resilience and the importance of consolidating risk data for targeted remediation where it matters most."
2025-05-15,"Explore the complex and changing world of cybersecurity regulations in the EU and UK. In this webinar we compared key frameworks, their impact on compliance and security strategies, and what they mean for organisations and society. We gained practical insights and guidance to strengthen both cybersecurity and compliance."
2025-05-13,"More than 90% of all global digital communications and financial transactions are transmitted by undersea cables every day. But few people recognise our reliance on these unseen pipelines through which data, energy, and money flow. We discussed how we respond to the growing threats to undersea networks."
2025-05-06,"Explore the dual challenge of skills and diversity in the cybersecurity sector, with insights into inclusive strategies, systemic change, and collaborative solutions. Drawing from national initiatives and lived experience, we’ll highlight how we can build a cyber workforce that is skilled, representative, and future-ready."
2025-05-01,"Transform your cybersecurity data into compelling, business-focused insights and narratives for the executive level. Learn which key metrics resonate with the board, how to bring data to life with effective storytelling techniques, and how MSSPs are enhancing reporting and drive smarter decisions."
2025-04-30,"Join us to discover how AI-powered MDR transforms security by enhancing threat hunting, accelerating incident response, and reducing alert fatigue. Learn from Rapid7’s research on how AI proactively identifies and neutralises advanced attacks, shifting your defence strategy from reactive to proactive."
2025-04-29,"Third-party risk management is a critical aspect of information security. Dive into the risks associated with third parties, why they matter, and strategies for effectively mitigating them. While there's no silver-bullet solution, join us for valuable insights and practical approaches that could help you."
2025-04-28,"In today’s dynamic threat environment, organisations must decide whether to evolve their SOC incrementally or pursue a transformative overhaul. Through real-world examples, learn how to assess your security posture, balance AI-driven transformation with human expertise, and craft a roadmap to optimise your SOC."
2025-04-23,"We learned about an award-winning pioneer in generative AI and cybersecurity, who is advancing AI-powered cyber defences. We heard about his work as the founder of the OWASP Top 10 List for LLM Applications, where he leads a global team to define the industry's guide to AI vulnerabilities, as well as his impressive track record for product design, engineering, management, and strategy."
2025-04-15,"Gaining control of your identity systems can give threat actors near-total control of all your systems, access to sensitive data, and the means to devastate your business. Join us to learn how to survive an attack on your infrastructure, including how to improve identity security without breaking the bank."
2025-04-14,"The US government’s bipartisan effort to limit China’s access to advanced semiconductors began under Trump and escalated under Biden, aiming to curb China’s military tech and AI. However, DeepSeek’s rise challenges US AI leadership. Join our expert panel to explore its impact on the Sino-US tech race."
2025-04-07,"Join us to learn about new legislation that started coming into force in February, including its rollout timetable, main requirements, regulators, and sanctions. We’ll also look at the types of AI in scope, people and organisations affected, AI supply chain complexities, and the UK’s position on AI regulation."
2025-04-03,"Traditional vulnerability management (VM) approaches often struggle to keep up with the evolving threat landscape due to outdated prioritisation methods and lack of context. Join us to learn about the advantages of adopting a risk-based strategy, and practical tips on how to successfully make the transition."
2025-03-31,"Leadership plays a pivotal role in an organisation’s culture. Learn how to educate your execs on emerging threats (without disrupting their busy workflows), demonstrate ROI using metrics, and integrate security practices that align with security goals into daily operations to drive safer behaviours."
2025-03-28,"Explore the evolving threat landscape of insider threats in the age of AI as we highlight how the advancements in technology amplify insider risks. You’ll learn how insider threats are evolving with AI, how AI is strengthening defences, and how to adopt proactive strategies to protect your organisation."
2025-03-25,"Discover three major trends set to define the cybersecurity landscape this year and beyond, according to Wavestone’s latest research and discoveries. This insightful webinar will explore forecasts, expert input, emerging developments, and real-world analysis to help us all prepare for what’s ahead."
2025-03-24,"Discover the pivotal trends shaping the future of cybercrime, according to a recent survey of 500 senior IT and security decision-makers. We’ll explore how these trends are redefining our approach to cybersecurity, and strategies you can implement to navigate the rapidly evolving threat landscape."
2025-03-18,"A Mac deployed without visibility is like a dance without rhythm – you are bound to miss a step. Watch now to learn how macOS telemetry ensures compliance, accelerates investigations, and enables proactive threat hunting. With the right tools, you can integrate Apple into your security strategy, because nobody should put Apple in the corner."
2025-03-17,"With nearly 20 years of security experience, including in UK Government and leadership roles within financial services, Matt has a proven industry track record. Watch now to hear about his experiences, as well as his work on security transformation and strategy to futureproof the UK’s largest digital bank against advancing threats in an age of AI and geopolitical turbulence."
2025-03-13,"It’s true – everybody lies. Watch now for a discussion (complete with stories and videos) on what our bodies do when we decide not to be honest, the indicators that may suggest someone is being deceitful, and how to give yourself the best chance of identifying a liar. Would you know what to look for?"
2025-03-07,"For International Women's Day, we’re sharing insights on breaking barriers, fostering inclusive workplaces, and advocacy for career progression. We’ll share how diverse leadership will help us build a more resilient industry, as well as practical advice for both aspiring and established leaders."
2025-03-06,"Explore why breaches happen and how to respond faster with advanced disruption techniques and automation. We’ll provide actionable insights on detection, disruption and containment, minimising damage, and continuous improvement. Make your organisation too costly a target for attackers to bother with."
2025-03-03,"In the face of huge global insecurity and rapid technological change, what can we as individuals, organisations and societies do to prepare for the worst? Our panel will discuss the latest geopolitical trends, the challenges they present us, and the steps we can take to improve our resilience."
2025-02-28,"Insider threats pose significant risks, leading to substantial financial losses (averaging $701.5k per incident) and reputational damage. Discover how user and entity behaviour analytics (UEBA) tools powered by AI detect abnormal behaviours, enhancing security alongside your proactive awareness culture."
2025-02-25,The rush to adopt new technologies can often mean organisations overlook the risks they carry. So how do those of us responsible for resilience raise concerns without being dismissed? Join us as we explore how to effectively influence the risk-benefit discussion when onboarding the latest innovations.
2025-02-21,"Would your cyber setup stop a threat actor with stolen user MFA credentials? Explore this expanding market, the most recent tactics for capturing details, and why speed is of the essence. We’ll look at attack disruption scenarios as well as a model for gauging your threat detection & response maturity."
2025-02-19,"More than 50% of security professionals' time is reportedly spent on routine tasks. But when even a minor misconfiguration can trigger far-reaching consequences, this creates constant risk. Automation can streamline processes, reduce risk, and free teams up to focus on strategic activities – just like in the films!"
2025-02-17,"Industrial control systems (ICS) are essential to many critical infrastructure operations. With insights from Censys' annual State of the Internet Report, we’ll explore exposed ICS services around the world, the growing threat to human-machine interfaces, and advice for securing ICS systems against attack."
2025-02-14,"2024 was a landmark year for SASIG, with record events, a growing membership, and impactful summits. In 2025, we’ll push boundaries with fresh initiatives like the Cyber Series and enhanced programmes. We’re committed to serving you, our members, and helping you build resilience in a turbulent and dangerous world. Join us as we outline our exciting plans for the year ahead!"
2025-02-10,Struggling to build a lasting security culture? Discover a structured approach to embed security thinking into your organisation. Learn actionable strategies to overcome common challenges and create a culture that goes beyond compliance to reduce cyber risks. Are you ready to transform your security practices?
2025-02-07,"John hates the phrase ‘users are the weakest link’, and is passionate about security being a colleague champion, not the ‘department of NO’. Join us to hear about his internationally recognised culture change programme for the Bank of England, experiences teaching and speaking on security culture and managing human risk, and his new venture supporting organisations in steering and improving their culture and awareness programmes."
2025-02-04,"The definition of CNI is changing, but why? And what can we do about it? Join us to discuss which organisations should be classed as CNI, the ever-expanding role of the MSSP community in securing cyberspace – as well as when, why, and critically how, the UK Government should become involved."
2025-02-03,"Explore the benefits of migrating from traditional SIEMs and hear about lessons learned by implementation engineers on the ground. We’ll discuss common pitfalls and how to approach planning, implementation, and post-deployment optimisation to help you build a roadmap for a successful transition."
2025-01-29,"Our increasingly sophisticated adversaries are leveraging valid credentials to move around organisations undetected. Explore how these attacks started and have evolved, the potentially catastrophic impact they can have, and how risk-based conditional access enforcement can help detect and prevent malicious activity."
2025-01-28,"As the far-reaching consequences of Russia’s invasion of Ukraine continue to unfold, our expert panel will assess the latest updates in the shifting dynamics of the war, the potential impact on Western support for Ukraine, and the broader security implications for Europe."
2025-01-24,"For the third year running, CybSafe has rallied the community to produce their next SA&T predictions survey, harnessing their frontline intel and expertise. Join us as we unpack the results, diving into team roles, budgets, trends, and tools, turning data into actionable insights for you and your team."
2025-01-23,"With an ongoing challenge to find candidates with both technical expertise and the creative mindset needed to drive innovation, work experience provides a powerful solution to the talent gap. Discover the benefits and how you can get started to deliver virtual or in-person opportunities."
2025-01-22,"Join us as we address the communication gap between cybersecurity and business leaders. We’ll explore a practical analysis framework that can help us translate technical cyber risks into business-focused language. Foster better understanding and alignment between CISOs and CEOs, leading to informed, impactful decision-making."
2025-01-21,"Explore key findings from new research commissioned by UK Government into this subset of cybersecurity culture. We’ll examine what senior industry professionals said were the challenges, enablers, and best practices for effective cyber risk management, and share techniques for embedding cyber risk culture into your organisation."
2025-01-20,"Discover powerful insights into the constantly evolving cyber-attack surface as we demonstrate the importance of creating an optimised cyber resiliency strategy. Explore the divide between infrastructure and security teams, and how to build an approach that focuses on risk, readiness, recovery, and resilience."
2025-01-17,"What is a ‘strong security culture’? Does ‘security culture’ even really exist? An organisation’s views on security can certainly drive (or prevent) culture change. Watch now as we explored areas where we as security teams can influence and improve our culture, with simple but effective tips for a positive impact."
2025-01-15,"Measuring and mitigating human risk without being restrictive can be difficult. Join us to learn about using innovative training methods and tools to build a strong security culture that strikes the perfect balance between risk mitigation and employee satisfaction, ultimately creating a more resilient and harmonious workplace."
2025-01-13,Explore five new year’s resolutions that will help you get the most out of your Microsoft Security investment. Learn how to leverage data-backed insights to identify critical gaps and fortify your defences against evolving threats. You’ll come away with the latest threat intel and actionable strategies to maximise ROI.
2025-01-10,"Our expert panel will examine the vulnerability of democracies, the destabilising effects of sophisticated disinformation campaigns, and how education and awareness can help counter them. Explore how nations can combat this growing threat in the grey zone between conflict and peace."
2025-01-08,"Explore how learning theories and the principles of memory and cognitive load can help us rethink how we approach training. By understanding how people learn and how our brains process and store information, we can unpack the shortcomings of traditional methods and bridge the learning gap."
2025-01-07,"Confused about the best way to deploy email security? Join us as we shed light on the complexities of API, mailbox, and MTA deployment options. We'll discuss the advantages and disadvantages of each approach, helping you make informed decisions to protect your people and defend your data from the #1 threat vector."
